kf, mse, mae, mape, r2, acc, bal_acc
1,0.0013126684356018214,0.028903199258856226,0.04186313934457454,0.18031395390779015,0.8,0.8333333333333334
1,0.00034246129629221154,0.014446664873175075,0.021350417026257194,0.7861525894247029,0.8,0.8333333333333334
1,0.0009653140272898644,0.026679540309503192,0.03970676028243968,0.3972168319078926,0.4,0.3333333333333333
1,0.0010020392461834034,0.024840928140692164,0.036410836625236566,0.3742840419890777,0.6,0.5
1,0.001112614300374108,0.026724863681390397,0.039466951091217006,0.30523627142662335,0.4,0.3333333333333333
2,0.0018872922128951059,0.035145955676110875,0.04969656988490232,0.4909698390390854,0.6,0.6666666666666666
2,0.0020315213282788964,0.0395894122305237,0.05819181505106252,0.4520691487710746,0.6,0.6666666666666666
2,0.0015884626810752072,0.03281437292006839,0.04755891765625832,0.5715685103221169,0.4,0.3333333333333333
2,0.0021140685564421825,0.04228137256530153,0.06265209111883596,0.42980496066510154,0.6,0.6666666666666666
2,0.0017534389095151411,0.03218248023894656,0.046237014265828276,0.5270720218908516,0.4,0.5
3,0.000883469376364396,0.022387206952429194,0.03307883230971753,0.41553704932851143,0.8,0.8333333333333334
3,0.0004386148081917146,0.01687613765463867,0.02566830467771853,0.7098324946373664,0.8,0.8333333333333334
3,0.0011346560513171944,0.026426954762792953,0.039025939312751966,0.2493634284426195,0.6,0.6666666666666666
3,0.000609497931375607,0.019125163953161616,0.028186187390869095,0.5967840324405026,0.8,0.8333333333333334
3,0.0007147190551987552,0.021372981564855942,0.031549835300282617,0.5271745472133861,0.8,0.8333333333333334
4,0.0010643126804495838,0.026282991065576168,0.037483829747132685,0.6387422535340793,0.8,0.8333333333333334
4,0.0006974512860846311,0.021214799600219724,0.03020481677200403,0.7632653594108642,0.8,0.8333333333333334
4,0.0008864476468513802,0.029338459687805175,0.04332462791831905,0.6991146632526498,0.4,0.5
4,0.0013010476756427137,0.030003501071527095,0.04285772636228336,0.5583877182137216,0.4,0.5
4,0.000667482936956519,0.021810309606170652,0.031193950185134118,0.7734374624687291,0.8,0.8333333333333334
5,0.0012974391140641438,0.02921119985271612,0.0424157482582097,0.2687787256254671,0.4,0.5
5,0.0008594158031482964,0.01903005688737793,0.02844132341630714,0.5156434610428728,0.8,0.6666666666666666
5,0.000603723149567682,0.020007575127374323,0.02942395517337778,0.6597488036155643,0.6,0.5
5,0.0009685531969126461,0.025582391646612558,0.03705300912020002,0.4541349221949085,0.6,0.6666666666666666
5,0.00037745072244394184,0.014786303612481743,0.02189962726456545,0.7872732559954239,0.8,0.8333333333333334
6,0.0013625935701993197,0.029488527443670632,0.04201711359360371,0.12693721029385585,0.6,0.6666666666666666
6,0.0006799170354166667,0.020880210068487524,0.03003389468395435,0.5643526604761733,0.8,0.8333333333333334
6,0.0010334096041079166,0.02584352774266969,0.036966223537162966,0.3378572366669824,0.4,0.5
6,0.0008033683148271353,0.02400003638532102,0.03448569398225375,0.4852529782582905,0.6,0.6666666666666666
6,0.0013410248207842929,0.030895641275689712,0.046237574515229495,0.14075708508748297,0.4,0.3333333333333333
7,0.0020167510693657967,0.03423027820811768,0.05366245228917681,-0.6207135014419394,0.4,0.5
7,0.002241917277177769,0.03806191024387209,0.05884485677580018,-0.8016629099299704,0.6,0.6666666666666666
7,0.0013496772585194579,0.03126697902904052,0.04870388517707202,-0.08463567402966965,0.4,0.5
7,0.0013039552088371512,0.027234564967993168,0.042655833443727226,-0.04789224824980076,0.6,0.6666666666666666
7,0.0015895841115547127,0.03607967920527955,0.05540191347781039,-0.27743104759302994,0.4,0.5
8,0.0017776772410001984,0.028971229152691614,0.04106137425034598,0.16868102683484798,0.8,0.6666666666666666
8,0.0007643661992894147,0.018448685597100844,0.02637934457711601,0.6425492157632031,0.8,0.6666666666666666
8,0.0009237180787000369,0.02503938491822506,0.03629144541490444,0.5680293660918191,0.8,0.6666666666666666
8,0.0007432076110489981,0.023437289128601036,0.03438083292418957,0.6524438892415849,0.4,0.3333333333333333
8,0.0007324970253917379,0.022155600242626906,0.032424562068166005,0.657452623597424,0.8,0.6666666666666666
